-2.14746e+009,75,2,10,0,host[13]-1,4.19758e-320,3.02664e-316,-2147474176,0,1100
53,75,2,10,0,host[16]-3,-1,-1,4,0,-3206989
44,75,2,10,0,host[19]-5,3.32124e-005,0.332065,2,2,389653
5.53994e+006,75,2,10,0,host[20]-1,nan,1.01264e-311,1846651,0,0
30,75,2,10,0,host[20]-11,1.50276e-005,0.0361917,4,1,773
-12,75,2,10,0,host[20]-3,8.48798e-314,0,0,0,1864759240
-12,75,2,10,0,host[20]-6,nan,0,0,0,65533
-12,75,2,10,0,host[21]-1,8.48798e-314,0,0,0,1864759240
3024,75,2,10,0,host[24]-3,1.957e-293,-4.24396e-314,1012,2,21694895
nan,75,2,10,0,host[24]-6,5.23615e-311,-5.23615e-311,-2147418368,0,1080
38,75,2,10,0,host[25]-17,2.4197e-005,0.0682742,4,1,10161
-15,75,2,10,0,host[25]-2,4.52213e-292,-1.8077e-293,-1,0,8252722
6,75,2,10,0,host[27]-1,1.49212e-005,0.036157,4,1,225
5,75,2,10,0,host[27]-4,1.53651e-005,-14,1,0,-425069172
-12,75,2,10,0,host[28]-5,2.92241e-295,9.51174e-293,0,-376081,-2427
-15,75,2,10,0,host[29]-2,-5.92209e-310,-4.20289e-292,-1,0,-1
7,75,2,10,0,host[30]-1,2.40901e-005,0.0911608,0,3,744802
47,75,2,10,0,host[32]-22,2.55066e-005,0.0515997,2,2,398125
25,75,2,10,0,host[34]-9,3.37369e-005,0.0516464,2,2,367340
49,75,2,10,0,host[35]-13,-1,-1,3,0,-2938390
33,75,2,10,0,host[35]-6,1.54996e-005,0.051535,2,2,383402
-6,75,2,10,0,host[36]-2,1.72997e-306,3.53795e-304,2,0,-2126363695
39,75,2,10,0,host[37]-1,1.61104e-005,0.0515775,1,2,530143
54,75,2,10,0,host[37]-11,-1,-1,4,0,-3216604
9,75,2,10,0,host[37]-2,3.28493e-005,0.0515783,2,2,385506
43,75,2,10,0,host[37]-3,2.41991e-005,0.0515554,2,2,374068
1422,75,2,10,0,host[38]-1,4.94066e-324,-3.23786e-319,478,0,-3453045
41,75,2,10,0,host[38]-18,1.58987e-005,0.036191,4,1,225
2835,75,2,10,0,host[38]-2,2.84814e-293,3.23781e-319,949,2,12458854
-6,75,2,10,0,host[39]-6,1.89702e-301,8.31698e-294,2,0,-1897209508
36,75,2,10,0,host[40]-15,2.42047e-005,0.0362344,4,1,3484
11,75,2,10,0,host[40]-2,1.6127e-005,0.0362383,4,1,225
23,75,2,10,0,host[41]-1,2.35475e-005,0.0515742,2,2,355850
32.0013,75,2,10,0,host[42]-13,1.59048e-005,-1,0,0,-2182578
-15,75,2,10,0,host[44]-5,-2.88001e-310,-6.67364e-293,-1,0,-1
-12,75,2,10,0,host[45]-3,nan,0,0,0,65533
12,75,2,10,0,host[46]-2,2.47065e-005,0.0515351,2,2,385411
17,75,2,10,0,host[46]-5,1.65154e-005,0.0515602,2,2,318900
22,75,2,10,0,host[47]-1,-1,-1,0,0,-1286370
16,75,2,10,0,host[48]-2,2.38653e-005,0.0361984,4,1,226
52,75,2,10,0,host[49]-12,-1,-1,4,0,-3088782
26,75,2,10,0,host[49]-5,1.54903e-005,0.0686186,0,3,741847
51,75,2,10,0,host[49]-9,1.62123e-005,0.377585,4,4,2900
4431,75,2,10,0,host[51]-3,3.36219e-293,-4.24396e-314,1481,2,30272838
46,75,2,10,0,host[52]-10,3.38389e-005,0.052443,2,2,370950
34,75,2,10,0,host[52]-9,2.39593e-005,0.0516022,2,2,358591
-12,75,2,10,0,host[53]-3,0,nan,0,0,-57791720
-6,75,2,10,0,host[53]-5,1.86337e-301,8.00389e-294,2,0,-2035566875
-12,75,2,10,0,host[55]-1,8.48798e-314,0,0,0,1864759240
50,75,2,10,0,host[55]-19,2.3626e-005,0.0361604,4,1,3035
-15,75,2,10,0,host[55]-6,-1.35265e-309,-4.22062e-292,-1,0,-1
31,75,2,10,0,host[63]-12,2.49564e-005,0.0516377,4,2,1357
42,75,2,10,0,host[63]-13,1.59752e-005,0.0362695,4,1,8849
19,75,2,10,0,host[63]-2,1.56098e-005,0.0942664,4,2,22703
-6,75,2,10,0,host[63]-4,1.94083e-304,5.59148e-300,2,0,-424476461
24,75,2,10,0,host[64]-2,1.62578e-005,0.0362412,4,1,225
15,75,2,10,0,host[64]-4,2.4215e-005,0.0513941,4,1,2002
21,75,2,10,0,host[65]-2,1.54547e-005,0.0382187,4,1,11232
20,75,2,10,0,host[65]-9,2.38294e-005,0.0361942,4,1,226
-12,75,2,10,0,host[67]-3,0,nan,0,0,-57789816
-6,75,2,10,0,host[67]-4,1.91203e-304,5.46259e-300,2,0,-424944411
29,75,2,10,0,host[69]-11,3.31955e-005,0.0514086,4,1,2749
28,75,2,10,0,host[71]-12,1.51682e-005,0.0361924,4,1,635
4356,75,2,10,0,host[71]-3,4.94066e-324,-3.23786e-319,1456,0,-25265461
18,75,2,10,0,host[71]-7,1.50219e-005,0.0513488,4,1,599
32,75,2,10,0,host[73]-2,2.41345e-005,0.0367103,4,1,928
